phrase,type
go die,threat
kill yourself,threat
you should die,threat
drop dead,threat
i hope you die,threat
die already,threat
get lost,harassment
get the hell out,harassment
leave this country,harassment
you dont deserve here,harassment
you dont belong here,harassment
go back to where you came from,harassment
worthless piece of shit,abuse
piece of shit,abuse
piece of crap,abuse
useless fellow,abuse
you are useless,abuse
you are trash,abuse
you are garbage,abuse
human garbage,abuse
waste of space,abuse
waste of oxygen,abuse
dumb idiot,abuse
stupid idiot,abuse
bloody idiot,abuse
complete idiot,abuse
moron,abuse
total moron,abuse
retard,slur
mentally retarded,slur
brain dead,abuse
no brain,abuse
you have no brain,abuse
ass hole,abuse
asshole,abuse
dumb ass,abuse
jackass,abuse
fuck you,abuse
fuck off,abuse
fuck yourself,abuse
fucking idiot,abuse
motherfucker,abuse
son of a bitch,abuse
bastard,abuse
bloody bastard,abuse
dirty bastard,abuse
shit head,abuse
shitface,abuse
shit person,abuse
piece of shit human,abuse
you are a joke,abuse
pathetic loser,abuse
loser,abuse
big loser,abuse
ugly piece of shit,abuse
ugly face,abuse
disgusting person,abuse
you disgust me,abuse
i hate you,harassment
everyone hates you,harassment
nobody likes you,harassment
you are hated,harassment
kill yourself now,threat
go kill yourself,threat
hang yourself,threat
jump off a bridge,threat
drink poison,threat
slit your throat,threat
end your life,threat
commit suicide,threat
nigga,slur
nigger,slur
nibba,slur
black bastard,slur
dirty black,slur
white trash,slur
dirty white,slur
bloody immigrant,slur
illegal immigrant,slur
filthy immigrant,slur
terrorist dog,slur
go to hell,harassment
burn in hell,harassment
rot in hell,harassment
damn you,harassment
damn bastard,abuse
hell with you,harassment
you deserve pain,threat
you deserve suffering,threat
i will beat you,threat
i will hit you,threat
i will break you,threat
i will destroy you,threat
i will kill you,threat
i will hurt you,threat
watch your back,threat
you will regret this,threat
i am coming for you,threat
you are finished,threat
your life is over,threat
you are dead,threat
shut up idiot,abuse
shut the fuck up,abuse
keep your mouth shut,harassment
stop talking trash,harassment
you talk nonsense,abuse
you are nonsense,abuse
clown,abuse
bloody clown,abuse
circus clown,abuse
joker idiot,abuse
attention seeker,harassment
cry baby,abuse
stupid kid,abuse
brainless kid,abuse
manchild,abuse
grow up idiot,abuse
fake person,harassment
two faced bastard,abuse
liar,harassment
dirty liar,harassment
cheater,harassment
scammer,harassment
fraud,harassment
criminal bastard,abuse
you should be ashamed,harassment
shame on you,harassment
disgrace to society,harassment
disgraceful human,harassment
embarrassment to family,harassment
your parents failed,harassment
your family failed you,harassment
no one will miss you,harassment
world would be better without you,threat
better if you disappear,threat
just disappear,threat
go rot somewhere,harassment
crawl back to hell,harassment
stay in your limits,harassment
know your place,harassment
you are nothing,abuse
you are nobody,abuse
zero value person,abuse
worth nothing,abuse
subhuman,slur
animal like you,slur
dog like you,slur
pig like you,slur
filthy animal,slur
 you are whore ,sexism

